groupName	Gene	correlation
up_sustained	IL18R1	0.9991046000050093
up_sustained	BPGM	0.9985061203402861
up_sustained	MAP2K3	0.9944234496166838
up_sustained	IL23A	0.9907189336015508
up_sustained	ZC3H12C	0.9901780966301018
up_sustained	NGFR	0.9876215606261
up_sustained	NAB1	0.987413476842705
up_sustained	HDX	0.9869699043852229
up_sustained	LRRC32	0.9866379888377848
up_sustained	LRP12	0.9846165312768422
up_sustained	MFHAS1	0.9807108841482891
up_sustained	PTGES3P1	0.9800297256901471
up_sustained	SLC5A5	0.9800210682266229
up_sustained	MAMLD1	0.9770652796169489
up_sustained	PLAT	0.9769231604421046
up_sustained	ICAM1	0.9746714467954918
up_sustained	ETS1	0.9729336622591136
up_sustained	NCCRP1	0.971557518246569
up_sustained	IFNAR2	0.9715389362540757
up_sustained	GCNT4	0.970354834791928
up_early	ARHGAP27	0.9955880553837714
up_early	ETV3	0.991263052898282
up_early	GATA6	0.988634454336587
up_early	RILPL2	0.988267299413394
up_early	RGS3	0.9868126378569626
up_early	NONOP2	0.9836910838370865
up_early	SEMA4C	0.9823213630575659
up_early	ZNF101	0.9818505596672403
up_early	REL	0.981319814638027
up_early	RRAD	0.9748847064564232
up_early	ZBTB10	0.9735019873579566
up_early	CLUHP3	0.9734847604267632
up_early	ARHGEF2	0.9706864356787317
up_early	NFATC1	0.9684027031327475
up_early	TMEM217	0.9677069970587633
up_early	TIFA	0.9672824720834913
up_early	CSF2	0.9670113347707959
up_early	PTGER4	0.966524360068966
up_early	WBP11P2	0.9657307430850951
up_early	NAB2	0.9643818227455768
dn_early	GLIS2	0.993921641408845
dn_early	CBX8	0.9864745893321359
dn_early	SMAD7	0.9861687046258294
dn_early	IRS1	0.9755973155595385
dn_early	SPSB2	0.9719594626218585
dn_early	ID2	0.9701904855107366
dn_early	FRAT1	0.9660773405556764
dn_early	PRAG1	0.9647531476303663
dn_early	PPP1R3B	0.964347823345807
dn_early	IER5L	0.9564261312855774
dn_early	MIEF2	0.9559289475105238
dn_early	ID3	0.954922224438865
dn_early	SOX12	0.951211177203107
dn_early	TMEM169	0.949930005415659
dn_early	KMT5C	0.9370392066736409
dn_early	RIMBP3	0.9336115842874351
dn_early	DNMT3B	0.9229483220933021
dn_early	LMCD1	0.9213976089651288
dn_early	HILPDA	0.9198127498608006
dn_early	PTCH1	0.9160441344819787
up_very early	PPP1R15A	0.9903284897915404
up_very early	CCNL1	0.9901488156077971
up_very early	EGR2	0.9848223482508066
up_very early	JUN	0.9802032953361559
up_very early	CSRNP1	0.9763084238230508
up_very early	DUSP8	0.9750784691077642
up_very early	PIM3	0.9728052485924381
up_very early	RASD1	0.9692271044657806
up_very early	EGR1	0.967074569530693
up_very early	NUAK2	0.9656916593647271
up_very early	FOS	0.9609043671520253
up_very early	GEM	0.9504168703096197
up_very early	MATN1	0.9327759608912376
up_very early	SLC25A25	0.9307771437128202
up_very early	KCNRG	0.923555863387929
up_very early	BTG2	0.9222026301956658
up_very early	ZFP36	0.9053104990030441
up_very early	DUSP1	0.9050608671750182
up_very early	PIM1	0.89601121508478
up_very early	UTP14C	0.8779920468300662
